service_id,date,exception_type
47,20160523,1
104,20160515,1
109,20160508,1
109,20160509,1
19,20160516,1
19,20160510,1
19,20160512,1
104,20160506,1
19,20160507,1
19,20160508,1
19,20160509,1
109,20160501,1
109,20160506,1
109,20160507,1
108,20160420,1
109,20160519,1
108,20160421,1
108,20160428,1
108,20160429,1
19,20160501,1
108,20160423,1
109,20160510,1
109,20160515,1
109,20160516,1
109,20160518,1
108,20160430,1
112,20160414,1
112,20160413,1
112,20160418,1
112,20160416,1
103,20160414,1
103,20160413,1
103,20160411,1
84,20160501,1
13,20160430,1
88,20160413,1
84,20160508,1
84,20160509,1
84,20160506,1
88,20160410,1
84,20160507,1
88,20160414,1
13,20160426,1
13,20160425,1
13,20160424,1
13,20160423,1
103,20160420,1
13,20160429,1
56,20160509,1
56,20160507,1
56,20160508,1
47,20160509,1
56,20160501,1
47,20160507,1
56,20160502,1
47,20160506,1
47,20160505,1
47,20160504,1
56,20160505,1
47,20160503,1
47,20160502,1
56,20160503,1
56,20160504,1
79,20160411,1
22,20160417,1
47,20160511,1
22,20160416,1
22,20160415,1
22,20160414,1
22,20160413,1
50,20160420,1
79,20160407,1
79,20160408,1
79,20160409,1
22,20160418,1
75,20160506,1
22,20160430,1
47,20160518,1
47,20160517,1
47,20160516,1
47,20160515,1
47,20160514,1
79,20160420,1
47,20160513,1
79,20160421,1
47,20160512,1
79,20160422,1
22,20160428,1
47,20160522,1
79,20160412,1
22,20160427,1
47,20160521,1
79,20160413,1
22,20160426,1
47,20160520,1
79,20160414,1
22,20160425,1
22,20160424,1
50,20160411,1
22,20160423,1
50,20160410,1
50,20160413,1
50,20160414,1
50,20160419,1
22,20160429,1
2,20160520,1
2,20160521,1
113,20160505,1
56,20160523,1
7,20160507,1
56,20160521,1
74,20160407,1
56,20160522,1
74,20160409,1
74,20160408,1
113,20160503,1
123,20160520,1
123,20160522,1
2,20160522,1
2,20160523,1
46,20160407,1
46,20160408,1
56,20160518,1
56,20160519,1
92,20160409,1
92,20160408,1
56,20160512,1
56,20160513,1
56,20160510,1
7,20160516,1
56,20160516,1
123,20160510,1
46,20160409,1
56,20160514,1
41,20160414,1
123,20160511,1
41,20160413,1
41,20160412,1
123,20160513,1
41,20160411,1
123,20160515,1
56,20160520,1
92,20160407,1
2,20160515,1
123,20160519,1
2,20160511,1
2,20160513,1
2,20160514,1
84,20160512,1
84,20160510,1
13,20160422,1
13,20160421,1
13,20160420,1
92,20160419,1
18,20160409,1
84,20160519,1
18,20160408,1
18,20160407,1
